texto,label_real,pred_groq/llama-3.3-70b-versatile,lat_groq/llama-3.3-70b-versatile
"Pesquisa aponta: Bolsonaro pode vencer no primeiro turno. A primeira pesquisa presidencial que exclui o ex-presidente Lula da disputa de 2018 aponta o deputado federal Jair Messias Bolsonaro como líder absoluto. Quando o cenário substitui João Dória por Geraldo Alckmin surge Bolsonaro em uma vitória no primeiro turno.

A pesquisa desconsidera a participação do ex-presidente Lula em virtude das condenações em primeira e segunda instância que são dadas como certas até mesmo pela defesa do petista. O primeiro cenário aponta para a ausência de um candidato do Partido dos Trabalhadores na disputa e na segunda sugere o ex-prefeito de São Paulo Fernando Haddad como presidenciável.


Pesquisa realizada pelo Instituto Vox Popular foi divulgada nesta segunda-feira (26) pela FOLHA com índices de intenção de voto para o primeiro turno da eleição presidencial de 2018. Veja os cenários pesquisados:
Cenário 1 (com Alckmin):

    Bolsonaro (PSC): 51%
    Marina Silva (Rede): 14%
    Alckmin (PSDB): 8%
    Joaquim Barbosa (Sem partido): 6%
    Ciro Gomes (PDT): 5%
    Luciana Genro (PSol): 2%
    Eduardo Jorge (PV): 2%
    Ronaldo Caiado (DEM): 2%
    Branco/nulo/nenhum: 10%
    Não sabe: 2%

 
Cenário 2 (com Doria):

    Jair Bolsonaro (PSC): 37%
    Marina Silva (Rede): 13%
    Fernando Haddad (PT): 10%
    João Doria (PSDB): 10%
    Ciro Gomes (PDT): 6%
    Luciana Genro (PSOL): 2%
    Eduardo Jorge (PV): 2%
    Ronaldo Caiado (DEM): 2%
    Branco/nulo/nenhum: 16%
    Não sabe: 2%

A pesquisa tem margem de erro de dois pontos percentuais para mais ou para menos e índice de confiança de 95%. O Vox Popular ouviu 2.771 pessoas nos dias 21 e 23 de abril.",FALSO,VERDADEIRO,0.5979769229888916
"Dilma finge solidariedade a Katia Abreu mas não a convida para o PT.

A ex-presidente Dilma fez uma narrativa nesta sexta (24) para se solidarizar com a senadora Kátia Abreu (sem partido-TO), que foi expulsa do PMDB. Detalhe: o partido ainda não expulsou Roberto Requião, que também tem atuado como representante do PT lá dentro.

Segundo Dilma, a expulsão de Kátia “é um jogo de cartas marcadas com que o grupo que se apossou do PMDB tenta perseguir os políticos sérios, honestos e progressistas que pertencem ao partido e lutam pela preservação de sua história”.

“A expulsão da senadora Kátia Abreu do PMDB é uma violência contra os seus eleitores do Tocantins e contra os brasileiros de todos os estados que a respeitam e admiram”, disse Dilma.

Bem, os eleitores do Tocantins votaram em Kátia a partir do apoio de agricultores e pecuaristas, mas ao se aliar ao PT, a senadora ficou do lado do MST, que vive praticando violência contra a base que a elegeu. Poucas coisas são mais monstruosas em política do que isso.

Aliás, o nível de oportunismo de Kátia conseguiu torná-la persona non gratta até mesmo dentro do PT. Se não fosse assim, Dilma deveria mostrar uma verdadeira solidariedade com Kátia e colocá-la no PT. Por que não fez? Quer dizer que Dilma só quer Kátia lá dentro do partido dos outros?

Esta é Dilma agindo malandramente…",FALSO,VERDADEIRO,0.23956727981567383
"“Nós vamos estuprar os corruptos” afirmam presos da Papuda. Mensagens vazadas por familiares de detentos do Complexo Penitenciário da Papuda, no Distrito Federal, dão conta de ameaças de estupro que estariam sendo enviadas aos políticos que estão cumprindo pena ou prisão preventiva. O Complexo Penitenciário da Papuda se notabilizou nos noticiários por abrigar políticos envolvidos nos escândalos do Mensalão e da Lava Jato. Entre seus “hospedes” famosos destacam-se Henrique Pizolatto (ex-diretor de marketing do Banco do Brasil), Jose Genoíno (ex-deputado federal petista), Carlinhos Cachoeira (bicheiro – lavador de dinheiro), Marcola (líder do PCC), Jose Dirceu (ex-deputado federal petista). O mais recente interno é o ex-ministro Geddel Vieira Lima. Na Papuda, os condenados não têm grandes privilégios. As celas são compostas por cama, sanitário e local para banho — não há chuveiro, mas apenas um cano de água fria. O banheiro não tem porta. O detento faz suas necessidades sendo observado pelos colegas de cela. As refeições são servidas três vezes ao dia: no início da manhã, por volta do meio-dia e no início da noite. As visitas de familiares costumam ser quinzenais. No último final de semana um protesto de presos ligados a facções criminosas que comandam presídios mandou um recado aos políticos e corruptos presos na Papuda. A partir de agora eles terão o mesmo tratamento que estupradores no cotidiano das celas. Estupradores recebem como castigo o estupro coletivo de seus colegas de cela. Passam a serem responsáveis pelos trabalhos “domésticos” dos líderes das facções. Em síntese, eles terão que lavar as roupas e prestar serviços sexuais aos líderes de facções criminosas, além disso zelarão pela limpeza e conservação das celas. Um famoso ex-deputado já está “casado” com um traficante. Seus familiares estão pedindo intervenção da Justiça para que a violência e humilhação cessem o mais breve possível. Segundo os detentos esta seria uma maneira de corrigir os erros da Justiça. Um traficante ouvido pela reportagem afirmou que o clima interno no presidio pe de muita revolta. Segundo ele “os ladroes da periferia roubam um carro e ficam presos décadas. Os políticos roubam e guardam em casa R$ 50 milhões e passam ",FALSO,FALSO,0.22019410133361816
"Conselho de Ética abre apuração sobre conduta de Eduardo Bolsonaro

O Conselho de Ética da Câmara dos Deputados instaurou nesta quarta-feira (17) dois processos para apurar se houve quebra de decoro parlamentar na conduta do deputado Eduardo Bolsonaro (PSC-SP), filho do também deputado Jair Bolsonaro (PSC-RJ).

As representações foram apresentadas pelo PT.

Na primeira ação, a legenda afirma que Eduardo Bolsonaro cuspiu no deputado Jean Wyllys (PSOL-RJ) na sessão em que se julgou a admissibilidade do impeachment da ex-presidente Dilma Rousseff, em abril de 2016.

Em abril deste ano, Wyllys foi punido pelo Conselho de Ética por ter cuspido em Jair Bolsonaro na mesma sessão. O deputado do PSOL recebeu uma advertência escrita.

Na outra representação, o PT acusa Eduardo Bolsonaro de ser o responsável pela edição fraudulenta de um vídeo publicado na internet com informações distorcidas sobre o episódio do cuspe com o objetivo de prejudicar Jean Wyllys.

Os relatores das representações devem ser escolhidos somente na próxima terça-feira (23).

O Conselho de Ética também instaurou processo por quebra de decoro para investigar o deputado Delegado Éder Mauro (PSD-PA), baseado em uma representação da Mesa Diretora.

O delegado teria publicado em seu Facebook um vídeo editado com parte de um pronunciamento de Jean Wyllys durante CPI que apurava violência contra jovens negros e pobres no Brasil. A fala do parlamentar teria sido descontextualizada. ",VERDADEIRO,VERDADEIRO,0.28132104873657227
"﻿Juiz determina soltura de 4 presos por pensão alimentícia no Compaj Segundo Defensoria, presos não foram transferidos para Vidal Pessoa. DPE argumentou que crise expõe perigo a devedores de pensão O juiz Leoney Figlioulo Harraquian determinou no sábado (7) a soltura em caráter de urgência de quatro homens que estavam presos no Complexo Penitenciário Anísio Jobim (Compaj) por atraso no pagamento de pensão alimentícia. A decisão atendeu pedido da Defensoria Pública do Amazonas (DPE-AM) diante da crise no sistema carcerário em Manaus, agravada com rebeliões, fuga e mortes desde a última semana. De acordo com a DPE, os presos não fazem parte do grupo transferido para a Cadeia Vidal Pessoa. No pedido, a DPE-AM argumentou que a crise expõe perigo excessivo aos devedores de pensão alimentícia que cumprem medidas coercitivas no regime fechado lado a lado com os condenados por crimes comuns. “Nesse sentido, a prisão civil deve sofrer gradativos sacrifícios até a perfeita harmonização com o direito à vida. Assim, ou bem os presos dever ser realocados para outra unidade segura, como por exemplo a carceragem do Comando da Polícia Militar ou, em último caso, a substituição por prisão domiciliar, com ou sem monitoração eletrônica”, diz o pedido de tutela provisória antecipada de urgência antecedente da DPE-AM. A Defensoria Pública pediu que, caso não houvesse alternativa para manutenção do enceramento de forma segura, que os presos por atraso no pagamento de pensão alimentícia fossem liberados com o compromisso de apresentar a quitação do débito com o alimentado em prazo estabelecido pela Justiça. O juiz Leoney Figlioulo deu prazo de 30 dias para a apresentação do comprovante de quitação da dívida da pensão alimentícia, sob pena de renovação da prisão, e determinou a expedição do alvará de soltura para André da Silva Moraes, Francival de Almeida Silva, Thiago Correa da Costa e Valdemar Torres de Souza Neto. Juiz determina soltura de 4 presos por pensão alimentícia no Compaj Segundo Defensoria, presos não foram transferidos para Vidal Pessoa. DPE argumentou que crise expõe perigo a devedores de pensão Do G1 AM FACEBOOK O juiz Leoney Figlioulo Harraquian determinou no sábado (7) a soltura em caráter de urgência de quatro homens que estavam presos no Complexo Penitenciário Anísio Jobim (Compaj) por atraso no pagamento de pensão alimentícia. A decisão atendeu pedido da Defensoria Pública do Amazonas (DPE-AM) diante da crise no sistema carcerário em Manaus, agravada com rebeliões, fuga e mortes desde a última semana. De acordo com a DPE, os presos não fazem parte do grupo transferido para a Cadeia Vidal Pessoa. No pedido, a DPE-AM argumentou que a crise expõe perigo excessivo aos devedores de pensão alimentícia que cumprem medidas coercitivas no regime fechado lado a lado com os condenados por crimes comuns. “Nesse sentido, a prisão civil deve sofrer gradativos sacrifícios até a perfeita harmonização com o direito à vida. Assim, ou bem os presos dever ser realocados para outra unidade segura, como por exemplo a carceragem do Comando da Polícia Militar ou, em último caso, a substituição por prisão domiciliar, com ou sem monitoração eletrônica”, diz o pedido de tutela provisória antecipada de urgência antecedente da DPE-AM. A Defensoria Pública pediu que, caso não houvesse alternativa para manutenção do enceramento de forma segura, que os presos por atraso no pagamento de pensão alimentícia fossem liberados com o compromisso de apresentar a quitação do débito com o alimentado em prazo estabelecido pela Justiça. O juiz Leoney Figlioulo deu prazo de 30 dias para a apresentação do comprovante de quitação da dívida da pensão alimentícia, sob pena de renovação da prisão, e determinou a expedição do alvará de soltura para André da Silva Moraes, Francival de Almeida Silva, Thiago Correa da Costa e Valdemar Torres de Souza Neto. Entenda o caso O primeiro tumulto nas unidades prisionais do estado ocorreu no Instituto Penal Antônio Trindade (Ipat), localizado no km 8 da BR-174 (Manaus-Boa Vista). Um total de 72 presos fugiu da unidade prisional na manhã de domingo (1º). Horas mais tarde, por volta de 14h, detentos do Compaj iniciaram uma rebelião violenta na unidade, que resultou na morte de 56 presos. O massacre foi liderado por internos da facção Família do Norte (FDN). A rebelião no Compaj durou aproximadamente 17h e acabou na manhã ",VERDADEIRO,VERDADEIRO,0.23253965377807617
"SÃO PAULO - Três dias após ser expulsa do PMDB, a senadora Kátia Abreu (TO) usou as redes sociais para criticar o presidente Michel Temer. Ironizando a popularidade do presidente, que teria desaprovação de 95% da população, a senadora escreveu que Temer não consegue se beneficiar dos resultados econômicos alcançados por seu governo. ""Nem os pífios reflexos da economia o Temer consegue colar nele. É o efeito teflon ao contrário. Só rindo"", afirmou. O Conselho de Ética do PMDB decidiu expulsar Kátia Abreu na quinta-feira, 23. A medida foi acatada de imediato pelo presidente do partido, senador Romero Jucá (RR), que elogiou a decisão por meio de nota à imprensa. ""Demonstra nova fase de posicionamento do partido"", afirmou. Em comunicado à imprensa, Kátia Abreu disse que foi expulsa por ""defender posições que desagradaram"" ao governo. ""Fui expulsa exatamente por não ter feito concessão à ética na política. Fui expulsa por defender posições que desagradam ao governo. Fui expulsa pois ousei dizer não a cargos, privilégios ou regalias do poder"", afirmou. Nas redes sociais, Kátia acrescentou que lutou pela democracia no partido, ""mas os corruptos venceram"". Um dia depois da expulsão, a ex-presidente Dilma Rousseff publicou diversas mensagens em apoio à senadora em seu Twitter. Ela comentou que a medida foi uma violência contra os brasileiros. ""A expulsão da senadora Kátia Abreu do PMDB é uma violência contra os seus eleitores do Tocantins ",VERDADEIRO,VERDADEIRO,0.22067546844482422
"Temer desabafa: ‘O que vou dizer aos meus filhos?’. Presidente desabafou com aliados poucas horas após tomar conhecimento da gravação de Joesley Batista. Drama político do presidente pode destruir para sempre a imagem de pai e avô.

Michel Temer estava inconsolável quando chegou ao Palácio Jaburu no final da noite de quarta-feira passada, dia em que o país conheceu seu assustador diálogo com Joesley Batista.

Cercado de alguns aliados, ele se esforçava para remontar com precisão as frases ditas ao empresário. Lá pelas tantas, desabafou. “Nessa altura da vida, com a trajetória que tenho, passar por uma coisa dessas! O que vou dizer aos meus filhos, aos meus netos? Que Deus me ajude a lembrar exatamente o que disse naquela noite”.

Aos 76 anos, Temer está em seu terceiro casamento. Do primeiro, com Maria Célia de Toledo, teve três filhas: Maristela, hoje com 47 anos; Luciana, de 44 anos; e Clarissa, que tem 42 anos. Foi casado também com Neuza, mas não teve filhos. Em 1998, teve seu primeiro filho homem (Eduardo – 19 anos) com uma jornalista. Dá uma pensão ao menino, mas o vê pouco.",FALSO,VERDADEIRO,0.24488019943237305
"Oposição pede cassação de Lúcio Vieira Lima a Conselho de Ética Os partidos de oposição PSOL e Rede apresentaram ao Conselho de Ética da Câmara na manhã desta quinta-feira (7) uma representação em que pedem a cassação do deputado Lúcio Vieira Lima (PMDB-BA) por quebra de decoro parlamentar. Na terça-feira (5), a procuradora-geral da República, Raquel Dodge, pediu ao STF (Supremo Tribunal Federal) o recolhimento noturno e nos dias de folga de Lúcio e a prisão domiciliar de Marluce Vieira Lima, mãe dele e do ex-ministro Geddel Vieira Lima. Dodge também pediu ao relator do caso, ministro Edson Fachin, que os dois usem tornozeleira eletrônica e, cumulativamente, paguem fiança no valor de 400 salários mínimos (cerca de R$ 375 mil) cada um. Marluce e os dois filhos foram denunciados por associação criminosa e lavagem de dinheiro. A acusação é referente ao bunker de R$ 51 milhões, descoberto pela Polícia Federal no início de setembro. Como a Folha mostrou nesta quinta, assessores de Lúcio Vieira Lima pagos com dinheiro da Câmara trabalhavam para a mãe do deputado. ""Com efeito, o deputado Lúcio Vieira Lima transgrediu frontalmente os deveres fundamentais que lhe incumbia observar ",VERDADEIRO,VERDADEIRO,0.2678031921386719
"Jovem é agredido em baile funk na virada do ano em Itupeva;

Ele está internado no Hospital São Vicente de Paulo e seu estado de saúde é considerado estável. Caso é investigado como tentativa de homicídio.

Um rapaz de 22 anos foi espancado por outros jovens, na madrugada de segunda-feira (1º), durante um baile funk na virada do ano, no Parque das Hortênsias, em Itupeva (SP). Família recebeu imagens do rapaz sendo agredido (veja acima). Um suspeito foi preso.

Segundo informações de um familiar, que pediu para não se identificar, Washington César Cavalcanti Pereira foi ao baile com alguns amigos e durante a madrugada foi cercado por outros rapazes e agredido violentamente.

Um amigo da vítima, que mora ao lado de onde ocorreu a agressão, ouviu os gritos e saiu com o irmão para socorrer o jovem.

No dia da briga, um dos suspeitos foi com o pai da vítima até a delegacia e prestou depoimento. O suspeito disse que Washington tinha se machucado sozinho com garrafas de vidro e que tentou impedir que o amigo se ferisse.

A história, no entanto, foi desmentida quando a família da vítima recebeu um vídeo em que o rapaz aparece apanhando, inclusive por este rapaz que foi à delegacia com o pai do jovem.

A mãe da vítima, Maria Valdeisa Cavalcanti, estava indignada e espera Justiça. ''Uma mulher ligou para mim dizendo que o menino estava todo ensaguentado na rua. O pai dele foi lá, mas eu não soube mais de nada, porque de lá eles já foram para o hospital. Espero Justiça, porque isso que eles fizeram com meu filho não é justo. Ele estando certo ou errado, ninguém sabe o que aconteceu na verdade, mas isso ninguém faz com ninguém'', diz.

O jovem está internado no Hospital São Vicente de Paulo e o estado de saúde dele é considerado estável. O caso é investigado como tentativa de homicídio.

utro caso
Um homem suspeito de tentar matar a ex-mulher a facadas e ferir o namorado da filha, em Jundiaí (SP), foi espancado por um grupo de adolescentes no terminal de ônibus da Vila Arens, na manhã de terça-feira (2).

Uma ambulância socorreu o homem ao Hospital São Vicente de Paulo, onde a ex-mulher dele continua internada em estado grave. O genro do suspeito foi transferido para outro hospital da cidade, não divulgado.

Os adolescentes flagrados agredindo José Carlos foram liberados pela GM porque ele não quis registrar boletim de ocorrência.

Ao G1, a Delegacia da Mulher (DDM) informou que o suspeito se apresentou e prestou depoimento nesta terça-feira (2), e foi novamente liberado. Familiares estão sendo ouvidos para ajudar a esclarecer o caso.",VERDADEIRO,VERDADEIRO,0.32935118675231934
"Sobrinho atira no tio após galinhas comerem seus pés de maconha. Cuidado! Se você tem um maconheiro perto de você pode estar correndo risco de morte. Veja o que este maconheiro fez com um familiar por causa banal. Maconha mata! Maconha é crime! Maconheiros são criminosos !

Um adolescente de 17 anos atirou no próprio tio depois de constatar que as galinhas que a vítima criava tinham comido os seus dois pés de maconha. O fato foi registrado pela Polícia Militar no início da tarde desta quinta-feira (10), em Conceição da Barra, Norte do Estado.


O tio do jovem contou aos militares que o sobrinho havia plantado os pés da droga no seu quintal sem ele saber. Enfurecido com o ocorrido, o menor começou a discutir com o tio e a quebrar alguns móveis da casa onde a vítima mora. Logo depois, pegou a arma de fogo que estava com o padrasto e atirou.

A vítima foi atingida por um disparo no antebraço esquerdo e socorrida para o Hospital Nossa Senhora da Conceição. De acordo com a PM, ela não corria risco de morte.

Os militares fizeram buscas no local do fato, mas o suspeito não foi localizado. O caso deve ser investigado pela Polícia Civil.",FALSO,FALSO,0.3470492362976074
