texto,label_real,pred_qwen/qwen3-32b,lat_qwen/qwen3-32b
"João Dória está deixando o PSDB, saiba qual será o novo partido. João Dória está arrumando as malas para abandonar o PSDB e partir para o DEM em busca da realização de seu sonho presidencial. Os tucanos não abrem mão do nome de Geraldo Alckmin, antigo parceiro de Dória e hoje seu maior rival na estratégia de trazer os votos paulistas para a disputa nacional.

A movimentação em campo aberto do prefeito de São Paulo, João Doria (PSDB), para “nacionalizar” seu nome com vistas à eleição presidencial de 2018 provocou uma reação do grupo político do seu padrinho, o governador Geraldo Alckmin, que vê suas articulações serem obstruídas pelo afilhado.


O prefeito aposta na aproximação com partidos como PMDB, DEM e PRB como forma de pressionar o PSDB de fora para dentro. O tucano recebeu a sinalização dessas três legendas de que ele poderia concorrer por elas em 2018.

Segundo fontes próximas ao prefeito João Dória, a maior tendência é a migração para o DEM. O prefeito baiano ACM Neto sinalizou interesse em ser seu vice. Desta maneira a estratégia eleitoral ganharia força ao ter dois grandes berços eleitorais, São Paulo e Bahia.

O prefeito, que teve agenda de candidato em Salvador nesta segunda-feira, vai intensificar ainda mais a rotina de viagens. Estão programadas nos próximos meses visitas ao Tocantins, ao Espírito Santo, a Rondônia e à Paraíba. A ideia é fortalecer a imagem nacionalmente enquanto as investigações da Lava Jato corroem as reputações de Geraldo Alckmin e José Serra, seus rivais no ninho tucano.

Triste é imaginar que Geraldo Alckmin foi o primeiro a estender a mão ao então apresentador João Dória. Uma ampla maioria do PSDB paulista era contra a candidatura de Dória a prefeitura. Hoje envaidecido com o sucesso nas redes sociais o prefeito articula para afastar das eleições de 2018 quem primeiro lhe estendeu a mão.",FALSO,FALSO,1.0202093124389648
"Geraldo Alckmin comprou 6 mil metralhadoras estragadas. Governo Alckmin gastou R$ 30 milhões em armas da Taurus que colocam a vida dos policiais militares em risco. Enquanto a Polícia está desarmada 6 mil metralhadoras descansam em caixas mofadas.

Cerca de 6.000 submetralhadoras Taurus compradas pela Polícia Militar de São Paulo por cerca de R$ 30 milhões (valores corrigidos) continuam dentro das caixas, sem uso, há mais de cinco anos.


O armamento, que deveria aparelhar a tropa no combate ao crime pelo Estado, teve seu emprego vetado por apresentar problemas considerados insolúveis, “como fissuras e rompimento de canos”.

Esse tipo de falha pode, segundo especialistas, levar à explosão da arma e provocar ferimentos no atirador.

“As armas estão estocadas em um galpão da PM na capital paulista para devolução ao fabricante. A Taurus, por sua vez, tenta um acordo com a gestão Geraldo Alckmin (PSDB) para não ter que ressarcir a polícia em dinheiro –mas com novas armas.

Procurada, a empresa não comentou as falhas das armas vendidas por ela. Informou, apenas, que ‘valoriza a relação com a Polícia Militar do Estado de São Paulo’.",FALSO,VERDADEIRO,0.36365270614624023
"Joesley chorou ao entrar na cela e está sem comer e tomar banho. O delator Joesley Batista chorou no momento em que os agentes abriram a cela da carceragem da superintendência da Polícia Federal em São Paulo para que ele entrasse após se entregar na tarde deste domingo.

Ao ouvir o barulho da grade fechando ele começou a chorar compulsivamente e a tremer. Seus colegas de cela tentaram o consolar mas ele teve uma crise nervosa e precisou ser medicado. Optou por não tomar banho (frio) nem se alimentar (marmita). O carcereiro chegou a brincar com ele dizendo que o bife era de confiança, que era Friboi, mas ele sequer levantou a cabeça.

A Coluna apurou que Joesley e o executivo da JBS Ricardo Saud devem ser transferidos para Brasília na segunda-feira, 10, em aeronave da Polícia Federal.

Os dois foram presos por determinação do ministro Edson Fachin, do Supremo, atendendo a pedido do procurador-geral da República, Rodrigo Janot. Eles são acusados de omitir informações no acordo de delação premiada.

A prisão é temporária, com prazo de cinco dias prorrogáveis por mais cinco.",FALSO,VERDADEIRO,0.37865471839904785
"TSE terá composição mais 'linha-dura' durante a eleição O TSE (Tribunal Superior Eleitoral) vai mudar ao longo de 2018, ano de eleição, e a expectativa é de que os novos ministros que vão passar a compor a corte atuem de acordo com um perfil mais ""linha-dura"". As mudanças começam no próprio comando do tribunal, que terá três ministros diferentes na presidência ao longo do ano. O atual presidente, Gilmar Mendes, deixa o tribunal em fevereiro, quando será substituído na presidência por Luiz Fux, cujo mandato na corte vai até agosto de 2018. No lugar de Fux, assumirá Rosa Weber, que terá a missão de chefiar a eleição de outubro. O TSE tem sete ministros em sua composição. Três deles são originários do STF (Supremo Tribunal Federal), há duas vagas destinadas para o STJ e outras duas para advogados. Hoje, os três ministros do STF que são membros titulares no TSE são Gilmar, Fux e Rosa Weber. Quando, ao longo do ano, Gilmar e Fux deixarem o tribunal, eles serão substituídos por Luís Roberto Barroso e Edson Fachin. Rosa, Barroso e Fachin serão, portanto, os três ministros do STF no TSE no período eleitoral – o primeiro turno das eleições será no dia 7 de outubro, e o segundo, no dia 28 de outubro. Caberá a eles a missão de impor o ritmo de ações envolvendo propaganda partidária e recursos das campanhas, dois dos principais pontos da corrida eleitoral. A campanha eleitoral para a Presidência da República tende a ser uma das mais disputadas e imprevisíveis. Rosa, Barroso e Fachin foram nomeados para o Supremo pela ex-presidente Dilma Rousseff, do PT. Pode caber a essa composição julgar possível processo sobre a participação do ex-presidente Luiz Inácio Lula da Silva (PT) nas eleições. Pré-candidato do PT à Presidência, Lula será julgado no dia 24 de janeiro pelo TRF-4 (Tribunal Regional Federal da 4ª Região) no recurso à condenação, pelo juiz Sergio Moro, a nove anos de prisão na Lava Jato. Se o TRF-4 mantiver a decisão, Lula pode ter sua candidatura barrada pela Lei da Ficha Limpa, o que deve provocar uma discussão sobre a viabilidade de sua participação na disputa no TSE. Como ministros substitutos do TSE, Barroso e Fachin participaram, em maio de 2017, do julgamento que determinou a cassação do então governador do Amazonas, José Melo (Pros), e de seu vice, José Oliveira, por compra de votos em 2014. Os ministros determinaram o afastamento imediato do governador",VERDADEIRO,VERDADEIRO,0.276900053024292
"Denúncias contra Temer não vão para Moro em 2019, diz STF Se o presidente Michel Temer ficar sem foro privilegiado no STF (Supremo Tribunal Federal) quando deixar o cargo, em janeiro de 2019, as denúncias apresentadas contra ele pela PGR (Procuradoria-Geral da República) por participação em organização criminosa não vão para as mãos do juiz Sergio Moro, no Paraná, mas serão analisadas pela Justiça Federal de Brasília. A decisão foi tomada nesta terça-feira (19) pelos ministros do STF e atinge seus principais aliados, os ministros Eliseu Padilha (Casa Civil) e Moreira Franco (Secretaria-Geral). Apesar de não analisar a situação especificamente do presidente, o Supremo tomou a decisão ao debater recursos de outros políticos do PMDB que foram denunciados junto com o presidente e seus ministros. Temer foi alvo de duas denúncias pela PGR (Procuradoria-Geral da República) na Lava Jato em 2016. Em ambos os casos, a Câmara dos Deputados decidiu que o Supremo não teria aval para analisar se o presidente deveria virar réu ou não. Assim, as denúncias ficam sobrestadas (em suspenso) até 1º de janeiro, quando ele deixa o cargo. A imunidade temporária é uma prerrogativa do presidente da República e dos ministros de Estado determinada pela Constituição. Na primeira denúncia, em junho, o então procurador-geral da República, Rodrigo Janot, acusou Temer e seu ex-assessor Rodrigo Rocha Loures ao STF pelo crime de corrupção passiva. Este caso já está em Brasília e Rocha Loures virou réu no começo de dezembro. De acordo com a PGR, o presidente teria sido o destinatário",VERDADEIRO,VERDADEIRO,0.3758106231689453
"Teoria da 'cegueira deliberada' ampara condenações na Lava Jato Juízes que conduzem os processos da Operação Lava Jato vêm usando com frequência uma doutrina jurídica estrangeira para fundamentar condenações pelo crime de lavagem de dinheiro nos casos em que as provas apresentadas contra os acusados parecem mais frágeis. Conhecida como teoria da cegueira deliberada e formulada pela primeira vez na Inglaterra no século 19, essa doutrina permite tratar como culpada uma pessoa que tenha movimentado dinheiro sujo sem ter conhecimento da natureza ilícita dos recursos, punindo-a com o mesmo rigor aplicado a quem comete esse crime conscientemente. Desde o início da Lava Jato, há três anos, o juiz Sergio Moro, responsável pelos processos que estão em Curitiba, e seu colega Marcelo Bretas, que atua no Rio, condenaram 121 pessoas por lavagem de dinheiro. Eles recorreram à doutrina importada em 13 casos até agora, conforme levantamento feito pela Folha. Ao julgar essas ações, os juízes reconheceram que não havia provas de que os réus soubessem da ligação entre o dinheiro movimentado e a corrupção, mas os condenaram mesmo assim, argumentando que tinham motivo para suspeitar do que estavam fazendo e tinham consciência do risco de cometer crimes. A legislação brasileira pune a lavagem de dinheiro quando o acusado sabe que o dinheiro é sujo e age com intenção de escondê-lo. Mas muitas situações não são claras assim, como no caso de alguém que aceita transportar uma mala de dinheiro roubado sem saber o conteúdo. Nesses casos, a lei prevê punição quando se demonstra que o acusado tinha consciência do risco que corria, mesmo sem intenção de praticar um crime. Mas isso também é difícil de provar muitas vezes, e por essa razão os juízes têm recorrido à doutrina da cegueira deliberada. Em 2015, o empresário Adir Assad e outras duas pessoas foram condenadas por repassar R$ 18 milhões destinados por uma empreiteira a funcionários corruptos na Petrobras. Não havia provas de que soubessem dos acertos feitos pela empresa na estatal, mas Moro os puniu mesmo assim. ""Ao concordarem em realizar as transações sub-reptícias, em",VERDADEIRO,VERDADEIRO,0.2679898738861084
"Garotinho ganha prêmio após teatro sobre “surra na cadeia”: vai para presídio de segurança máxima.

O ex-governador do Rio de Janeiro Anthony Garotinho será transferido para um presídio de segurança máxima.

O juiz Ralph Machado Mañaes Júnior, do Tribunal Regional Eleitoral da 98ª Zona Eleitoral do Rio de Janeiro, deu a decisão na tarde desta sexta (24) para o ex-governador ser transferido imediatamente do presídio de Benfica para um presídio federal de segurança máxima. As informações são d’O Globo.

O juiz disse, em sua decisão, que Garotinho “causando transtornos” em Benfica e “teria se autolesionado”. Isso foi descoberto após Garotinho ter dito que foi agredido na cadeia durante a noite. O juiz recebeu essas informações antes da queixa de Garotinho.

Garotinho disse que tomou uma surra durante a noite dentro de sua cela na penitenciária de Benfica. O advogado do ex-governador disse que seu cliente relatou que uma pessoa invadiu a cela onde ele dormia e o agrediu com um porrete.

Seja lá como for, se o problema é segurança, está resolvido. Agora ele vai para um lugar de segurança máxima.",FALSO,VERDADEIRO,0.38398003578186035
"Gilmar Mendes manda tirar tornozeleira eletrônica de Rosinha Garotinho

Ex-governadora do RJ foi presa em novembro, e Tribunal Eleitoral do Rio concedeu medidas alternativas à prisão. Gilmar Mendes mandou soltar Anthony Garotinho nesta semana.

O ministro Gilmar Mendes, presidente do Tribunal Superior Eleitoral (TSE), mandou nesta sexta-feira (22) suspender as medidas cautelares concedidas à ex-governadora do Rio de Janeiro Rosinha Garotinho, mulher do também ex-governador Anthony Garotinho.

Na prática, Gilmar Mendes mandou retirar a tornozeleira eletrônica de Rosinha Garotinho e suspendeu o recolhimento noturno, derrubando também a regra imposta a ela de não poder ter contato com outros investigados na operação que a levou à prisão.

Gilmar Mendes já havia mandado, na última quarta (20), soltar Anthony Garotinho e o presidente nacional do PR, Antonio Carlos Rodrigues, presos na mesma operação.

Anthony Garotinho e Rosinha Garotinho foram presos pela Polícia Federal em 22 de novembro na operação que investigou supostas irregularidades na campanha eleitoral de Anthony Garotinho em 2014 ao governo do Rio de Janeiro.

São apurados nesta operação os crimes de corrupção, concussão, participação em organização criminosa e falsidade na prestação das contas eleitorais. Anthony e Rosinha Garotinho negam as acusações.

* A decisão de Gilmar Mendes *

Ao analisar o caso, Gilmar Mendes avaliou que as medidas cautelares concedidas são ""desproporcionais"", acrescentando não haver indícios de ""reiteração delituosa"" que possa ser atribuída à ex-governadora, ou seja, para o ministro, não há fatos que indiquem que Rosinha Garotinho esteja cometendo crimes.

""Há evidências concretas de condutas ofensivas às investigações perpetradas por outros membros da organização, mas não há o liame entre tais condutas e alguma ação efetiva da ré [Rosinha Garotinho]"", escreveu o ministro.

Na decisão, Gilmar Mendes não derrubou medidas cautelares impostas a outros investigados nesse mesmo caso. O magistrado derrubou somente as cautelares condedidas a Rosinha.",VERDADEIRO,VERDADEIRO,0.44220995903015137
"PSDB e senador recorrem ao STF contra votação que beneficiou Dilma O senador Álvaro Dias (PV-PR) recorreu ao STF (Supremo Tribunal Federal) contra o procedimento adotado pelo ministro da Corte, Ricardo Lewandowski, que presidia o julgamento do impeachment de Dilma Rousseff. Uma interpretação do magistrado permitiu que as penas às quais a petista estava exposta fossem avaliadas separadamente. O senador do PV foi o primeiro a formalizar uma queixa ao Supremo sobre o resultado da votação. O PSDB, que havia desistido de questionar judicialmente o resultado, voltou atrás, mas ainda estuda qual instrumento legal vai usar no recurso. Dias argumenta que, ao justificar o fatiamento da votação, Lewandowski argumentou que o Senado era soberano para decidir se acatava ou não o destaque proposto pela defesa de Dilma, que pregava a votação em duas etapas. Na primeira, os senadores decidiriam se o mandato de Dilma deveria ser cassado. Na segunda, se ela deveria ficar inabilitada para ocupar funções públicas. Como se sabe, a ex-presidente perdeu o mandato, mas a segunda punição não conseguiu o apoio de 54 senadores —42 votaram a favor da medida e 36 foram contrários. ""Ocorre que ele afirmou que o Senado era soberano para decidir, mas não colocou em votação a admissibilidade do destaque [que pregava o fatiamento] proposto pela defesa de Dilma. Para que o plenário rejeitasse o destaque, seria preciso apenas maioria simples [41 votos]. O resultado da segunda votação mostra que o destaque seria derrotado, portanto"", diz o senador. Dias pede no mandado de segurança que impetrou no STF que os ministros considerem a segunda votação nula e apliquem sobre o primeiro resultado, que cassou",VERDADEIRO,VERDADEIRO,0.2836790084838867
"Quatro ex-presidentes presos até 2019 é o que a Lava Jato está preparando. A Força Tarefa da operação Lava Jato está com farto material acusatório para levar para a cadeia simultaneamente 4 ex-presidentes do Brasil. Lula, Dilma, Temer e Collor podem terminar sua vida política atrás das grades. A condenação de Lula acendeu o alerta vermelho em políticos que se achavam intocáveis. A operação Lava Jato ao condenar o maior líder político da Esquerda no Brasil demonstrou que nenhuma pessoa está acima da lei. A condenação a nove anos e seis meses de prisão pelo juiz federal Sergio Moro, nesta quarta-feira, não mandará o petista automaticamente para a cadeia. Isso porque Moro é um juiz de primeira instância e, assim, sua decisão não basta para que a pena seja cumprida imediatamente. Toda decisão que o “juiz da Lava Jato” toma em primeira instância é depois revisada, em segunda instância, pelos desembargadores do Tribunal Regional da 4ª Região (TRF4) João Pedro Gebran Neto, relator da operação, Leandro Paulsen e Victor Luiz dos Santos Laus, membros da 8ª Turma da Corte sediada em Porto Alegre. O trio da segunda instância é muito mais duro que o juiz Sergio Moro. A pena de Lula provavelmente será confirmada e ampliada. Ele ficará fora das eleições de 2018 e com ele levará mais três ex-presidentes que lhe foram muito próximos durante os anos em que o petismo conduziu os rumos políticos do Brasil. Pesa sobre Michel Temer fortíssimos indícios de corrupção passiva, organização criminosa e obstrução de justiça. Somente com as provas levantadas até agora ele pode pegar até 33 anos de cadeia. Contra Dilma Vana Rousseff pesa mais fortemente a acusação de tentativa de obstrução da Justiça. Tal acusação fundamenta pela Policia Federal do Brasil aponta tentativa de blindar o ex-presidente Lula e barrar os processos em que ele está envolvido na Operação Lava Jato ao nomeá-lo como ministro. Embora contra Dilma ainda existam investigações sobre o caixa dois em suas campanhas eleitorais ela é a que possui mais chances de se livrar das garras da justiça. Caso seja condenada por obstrução da Justiça, sua pena será de até 3 anos de reclusão. Como as penas inferiores a 4 anos de reclusão são substituídas por penas são substituídas por prestação de serviços a comunidade. Ela precisa de mais uma condenação para de fato se juntar ao time dos ex-presidentes presos. O ex-presidente Fernando Collor de Melo (PTC-AL)",FALSO,FALSO,0.33322763442993164
